Conversation ID,C,MICO,MIIN,N,Other,Q,R,S,%MIC,R:Q,%CT
high_001,0,3,0,17,7,5,3,0,100.0,0.6,0.0
high_002,0,1,4,28,7,6,8,4,78.94736842105263,1.3333333333333333,0.0
high_003,2,3,8,16,15,4,1,0,50.0,0.25,100.0
high_004,5,14,0,9,5,8,8,9,100.0,1.0,35.714285714285715
high_005,9,0,1,15,5,12,4,7,94.11764705882352,0.3333333333333333,56.25
high_006,45,7,0,96,39,46,57,7,100.0,1.2391304347826086,86.53846153846155
high_007,9,5,7,8,14,14,1,1,74.07407407407408,0.07142857142857142,90.0
high_008,2,3,4,11,0,6,11,0,83.33333333333334,1.8333333333333333,100.0
high_009,7,4,9,20,29,6,8,3,66.66666666666666,1.3333333333333333,70.0
high_010,7,1,0,13,8,8,10,19,100.0,1.25,26.923076923076923
high_011,11,0,0,49,6,12,16,8,100.0,1.3333333333333333,57.89473684210527
high_012,0,3,12,54,61,15,8,0,68.42105263157895,0.5333333333333333,0.0
high_013,2,6,5,26,33,19,6,18,86.11111111111111,0.3157894736842105,10.0
high_014,10,0,0,49,6,13,16,9,100.0,1.2307692307692308,52.63157894736842
high_015,7,5,1,43,21,19,11,21,97.22222222222221,0.5789473684210527,25.0
high_016,22,7,4,25,25,25,33,17,94.20289855072464,1.32,56.41025641025641
high_017,37,8,0,42,10,14,23,6,100.0,1.6428571428571428,86.04651162790698
high_018,14,0,0,64,11,21,12,46,100.0,0.5714285714285714,23.333333333333332
high_019,22,0,5,68,14,49,65,67,95.7983193277311,1.3265306122448979,24.719101123595504
high_020,3,25,47,106,48,39,43,1,69.48051948051948,1.1025641025641026,75.0
high_021,41,6,0,97,47,45,57,6,100.0,1.2666666666666666,87.2340425531915
high_023,0,0,2,16,3,13,3,4,88.88888888888889,0.23076923076923078,0.0
high_024,6,0,0,3,1,10,11,1,100.0,1.1,85.71428571428571
high_025,2,5,2,11,14,13,6,3,92.3076923076923,0.46153846153846156,40.0
high_026,5,7,6,21,6,7,12,1,81.25,1.7142857142857142,83.33333333333334
high_027,1,6,2,34,16,5,5,1,88.88888888888889,1.0,50.0
high_028,7,2,2,14,6,11,19,2,94.11764705882352,1.7272727272727273,77.77777777777779
high_029,4,1,6,21,13,4,14,7,76.0,3.5,36.36363636363637
high_030,0,2,8,45,33,20,2,0,75.0,0.1,0.0
high_031,9,0,0,2,6,3,7,11,100.0,2.3333333333333335,45.0
high_032,12,9,2,25,3,18,25,5,96.29629629629629,1.3888888888888888,70.58823529411765
high_033,13,7,4,18,7,14,13,6,89.47368421052632,0.9285714285714286,68.42105263157895
high_034,6,0,0,32,1,1,23,5,100.0,23.0,54.54545454545454
high_035,2,1,0,45,14,15,11,0,100.0,0.7333333333333333,100.0
high_036,4,6,2,43,6,14,16,4,94.73684210526315,1.1428571428571428,50.0
high_037,1,0,11,22,40,10,1,3,50.0,0.1,25.0
high_038,0,7,8,38,6,19,36,6,88.57142857142857,1.894736842105263,0.0
high_039,14,13,6,32,13,13,15,12,87.2340425531915,1.1538461538461537,53.84615384615385
high_040,4,13,1,70,14,22,41,7,98.7012987012987,1.8636363636363635,36.36363636363637
high_041,20,4,3,11,11,17,27,29,94.11764705882352,1.588235294117647,40.816326530612244
high_042,10,5,8,57,11,7,31,0,84.31372549019608,4.428571428571429,100.0
high_043,6,9,3,45,40,12,14,3,92.10526315789474,1.1666666666666667,66.66666666666666
high_044,26,10,5,34,23,21,19,13,90.9090909090909,0.9047619047619048,66.66666666666666
high_045,0,2,5,66,9,10,13,7,83.33333333333334,1.3,0.0
high_046,14,7,1,31,12,26,32,19,98.48484848484848,1.2307692307692308,42.42424242424242
high_047,25,9,7,23,17,13,16,16,84.44444444444444,1.2307692307692308,60.97560975609756
high_048,7,1,0,44,2,5,37,35,100.0,7.4,16.666666666666664
high_049,20,5,1,56,18,18,36,22,98.33333333333333,2.0,47.61904761904761
high_050,2,0,1,51,5,3,55,16,98.30508474576271,18.333333333333332,11.11111111111111
high_051,6,5,4,79,11,46,49,8,96.15384615384616,1.065217391304348,42.857142857142854
high_052,4,0,1,66,19,1,62,2,98.4375,62.0,66.66666666666666
high_053,1,0,11,48,68,26,8,2,75.55555555555556,0.3076923076923077,33.33333333333333
high_054,6,16,8,34,53,24,8,0,85.71428571428571,0.3333333333333333,100.0
high_055,32,0,10,25,15,14,10,21,70.58823529411765,0.7142857142857143,60.37735849056604
high_056,35,10,3,36,22,22,23,8,94.82758620689656,1.0454545454545454,81.3953488372093
high_057,28,7,0,50,41,27,27,12,100.0,1.0,70.0
high_058,29,18,10,91,24,37,36,12,90.0990099009901,0.972972972972973,70.73170731707317
high_059,46,4,0,65,22,31,51,16,100.0,1.6451612903225807,74.19354838709677
high_060,6,0,0,89,16,35,36,11,100.0,1.0285714285714285,35.294117647058826
high_061,20,19,7,96,40,39,35,35,93.0,0.8974358974358975,36.36363636363637
high_062,11,2,0,86,9,46,17,2,100.0,0.3695652173913043,84.61538461538461
high_063,8,8,6,137,55,16,115,5,95.86206896551724,7.1875,61.53846153846154
high_064,52,12,2,41,27,17,42,11,97.26027397260275,2.4705882352941178,82.53968253968253
high_065,0,0,0,85,81,9,52,0,100.0,5.777777777777778,0.0
high_066,7,3,1,125,41,20,40,3,98.4375,2.0,70.0
high_067,1,17,2,65,58,35,2,0,96.42857142857143,0.05714285714285714,100.0
high_068,50,3,0,64,21,29,54,15,100.0,1.8620689655172413,76.92307692307693
high_069,0,5,8,143,59,28,44,13,90.58823529411765,1.5714285714285714,0.0
high_070,44,14,19,84,46,49,52,14,85.82089552238806,1.0612244897959184,75.86206896551724
high_071,34,14,2,90,67,37,53,16,98.11320754716981,1.4324324324324325,68.0
high_072,1,1,0,39,4,4,13,17,100.0,3.25,5.555555555555555
high_073,2,1,0,115,18,35,37,0,100.0,1.0571428571428572,100.0
high_074,53,35,15,65,33,63,54,26,91.01796407185628,0.8571428571428571,67.08860759493672
high_075,0,10,0,171,63,33,73,3,100.0,2.212121212121212,0.0
high_076,21,9,56,201,127,47,73,6,69.72972972972973,1.553191489361702,77.77777777777779
high_077,32,18,9,66,19,38,38,11,91.2621359223301,1.0,74.4186046511628
high_078,49,11,16,65,42,54,50,11,87.78625954198473,0.9259259259259259,81.66666666666667
high_079,53,21,1,31,23,34,37,18,98.9247311827957,1.088235294117647,74.64788732394366
high_080,18,4,4,9,8,18,29,24,92.72727272727272,1.6111111111111112,42.857142857142854
high_081,12,3,0,12,5,11,13,5,100.0,1.1818181818181819,70.58823529411765
high_082,38,5,2,13,7,18,32,42,96.49122807017544,1.7777777777777777,47.5
high_083,15,8,2,37,2,19,40,4,97.10144927536231,2.1052631578947367,78.94736842105263
high_084,2,9,0,27,9,20,43,26,100.0,2.15,7.142857142857142
high_085,24,9,3,20,16,30,29,15,95.77464788732394,0.9666666666666667,61.53846153846154
high_086,11,1,0,38,3,11,34,19,100.0,3.090909090909091,36.666666666666664
high_087,8,4,0,44,4,6,38,13,100.0,6.333333333333333,38.095238095238095
high_088,4,1,4,16,2,31,17,29,92.45283018867924,0.5483870967741935,12.121212121212121
high_089,10,3,3,43,4,30,32,37,95.58823529411765,1.0666666666666667,21.27659574468085
high_090,16,8,1,34,8,20,31,39,98.33333333333333,1.55,29.09090909090909
high_091,8,3,4,21,4,19,12,27,89.47368421052632,0.631578947368421,22.857142857142858
high_092,3,5,0,31,0,4,62,64,100.0,15.5,4.477611940298507
high_093,12,2,2,26,9,21,15,4,95.0,0.7142857142857143,75.0
high_094,25,3,0,27,10,17,23,13,100.0,1.3529411764705883,65.78947368421053
high_095,2,4,8,29,15,19,6,17,78.37837837837837,0.3157894736842105,10.526315789473683
high_096,6,11,0,19,6,22,19,14,100.0,0.8636363636363636,30.0
high_097,3,2,5,0,10,3,2,5,58.333333333333336,0.6666666666666666,37.5
high_098,42,2,0,78,12,52,49,7,100.0,0.9423076923076923,85.71428571428571
high_099,39,4,9,86,16,62,54,6,93.02325581395348,0.8709677419354839,86.66666666666667
high_100,27,4,0,28,2,17,33,11,100.0,1.9411764705882353,71.05263157894737
high_101,1,0,0,14,0,2,9,0,100.0,4.5,100.0
high_102,3,0,0,8,1,6,3,2,100.0,0.5,60.0
high_103,4,13,0,48,10,25,19,2,100.0,0.76,66.66666666666666
high_104,19,7,2,67,18,57,20,18,97.67441860465115,0.3508771929824561,51.35135135135135
high_105,12,6,2,82,4,15,35,46,96.55172413793103,2.3333333333333335,20.689655172413794
high_106,15,7,6,27,19,22,10,5,86.66666666666667,0.45454545454545453,75.0
high_107,22,2,11,35,15,18,9,6,72.5,0.5,78.57142857142857
high_108,20,0,0,16,0,14,38,7,100.0,2.7142857142857144,74.07407407407408
high_109,45,1,6,85,12,22,71,24,94.0,3.227272727272727,65.21739130434783
high_110,28,1,4,26,19,35,13,43,92.45283018867924,0.37142857142857144,39.436619718309856
high_111,6,0,0,32,0,2,23,7,100.0,11.5,46.15384615384615
high_112,7,2,2,11,1,4,26,30,94.11764705882352,6.5,18.91891891891892
high_113,16,5,6,29,7,35,18,65,90.625,0.5142857142857142,19.753086419753085
high_114,4,5,2,26,14,10,2,1,89.47368421052632,0.2,80.0
high_115,14,4,1,18,17,18,15,1,97.36842105263158,0.8333333333333334,93.33333333333333
high_116,17,3,13,55,6,12,28,4,76.78571428571429,2.3333333333333335,80.95238095238095
high_117,23,15,0,35,15,26,43,16,100.0,1.6538461538461537,58.97435897435898
high_118,3,2,8,71,16,9,27,12,82.6086956521739,3.0,20.0
high_119,10,7,0,92,10,16,66,8,100.0,4.125,55.55555555555556
high_120,6,5,2,26,2,8,11,15,92.3076923076923,1.375,28.57142857142857
high_121,7,13,3,139,59,21,65,11,97.05882352941177,3.0952380952380953,38.88888888888889
high_122,26,7,3,84,2,24,44,12,96.15384615384616,1.8333333333333333,68.42105263157895
high_123,33,7,0,51,8,39,85,45,100.0,2.1794871794871793,42.30769230769231
high_124,15,16,3,42,12,11,8,1,92.10526315789474,0.7272727272727273,93.75
