Conversation ID,C,MICO,MIIN,N,Other,Q,R,S,%MIC,R:Q,%CT
low_001,14,9,26,90,39,39,6,4,67.5,0.15384615384615385,77.77777777777779
low_002,0,0,6,19,7,2,0,0,25.0,0.0,0.0
low_003,0,1,14,12,3,2,2,0,26.31578947368421,1.0,0.0
low_004,3,0,0,14,4,5,1,2,100.0,0.2,60.0
low_005,0,0,14,12,4,2,2,0,22.22222222222222,1.0,0.0
low_006,0,0,3,8,4,3,1,2,57.14285714285714,0.3333333333333333,0.0
low_007,0,1,6,14,7,10,1,1,66.66666666666666,0.1,0.0
low_008,0,6,7,12,12,7,0,7,65.0,0.0,0.0
low_009,0,2,7,11,14,11,4,0,70.83333333333334,0.36363636363636365,0.0
low_010,0,1,5,24,39,11,4,0,76.19047619047619,0.36363636363636365,0.0
low_011,2,5,14,19,14,8,2,12,51.724137931034484,0.25,14.285714285714285
low_012,0,0,4,38,15,12,8,1,83.33333333333334,0.6666666666666666,0.0
low_013,0,0,13,27,18,4,1,4,27.77777777777778,0.25,0.0
low_014,0,1,7,14,12,4,1,1,46.15384615384615,0.25,0.0
low_015,5,4,9,34,20,3,14,7,70.0,4.666666666666667,41.66666666666667
low_016,2,0,21,21,17,1,5,0,22.22222222222222,5.0,100.0
low_017,1,2,44,41,27,6,0,1,15.384615384615385,0.0,50.0
low_018,0,0,21,14,15,4,3,1,25.0,0.75,0.0
low_019,5,0,9,20,17,3,2,15,35.714285714285715,0.6666666666666666,25.0
low_020,2,1,18,57,44,15,5,5,53.84615384615385,0.3333333333333333,28.57142857142857
low_021,2,5,16,57,39,12,14,2,65.95744680851064,1.1666666666666667,50.0
low_022,14,7,15,18,8,1,9,5,53.125,9.0,73.68421052631578
low_023,13,0,2,38,6,0,4,1,66.66666666666666,0.0,92.85714285714286
low_024,1,2,33,13,10,8,2,14,26.666666666666668,0.25,6.666666666666667
low_025,8,2,30,7,1,2,8,26,28.57142857142857,4.0,23.52941176470588
low_026,16,11,5,61,42,19,51,24,94.18604651162791,2.6842105263157894,40.0
low_027,16,8,26,87,39,39,7,3,67.5,0.1794871794871795,84.21052631578947
low_028,2,9,7,39,10,12,3,10,77.41935483870968,0.25,16.666666666666664
low_029,4,0,18,44,16,14,10,26,57.14285714285714,0.7142857142857143,13.333333333333334
low_030,16,2,5,20,9,24,17,5,89.58333333333334,0.7083333333333334,76.19047619047619
low_031,9,22,31,80,27,25,57,9,77.03703703703704,2.28,50.0
low_032,37,5,5,68,29,10,54,29,93.24324324324324,5.4,56.060606060606055
low_033,12,2,38,109,19,36,9,5,55.294117647058826,0.25,70.58823529411765
low_034,2,0,17,16,19,4,0,13,19.047619047619047,0.0,13.333333333333334
low_035,0,1,10,11,10,2,2,2,33.33333333333333,1.0,0.0
low_036,2,0,6,17,4,8,2,3,62.5,0.25,40.0
low_037,3,1,13,12,3,7,6,16,51.85185185185185,0.8571428571428571,15.789473684210526
low_038,0,0,9,19,5,6,3,5,50.0,0.5,0.0
low_039,0,0,6,26,25,9,1,0,62.5,0.1111111111111111,0.0
low_040,15,7,20,66,28,35,8,3,71.42857142857143,0.22857142857142856,83.33333333333334
low_041,9,3,22,13,4,2,3,2,26.666666666666668,1.5,81.81818181818183
low_042,11,2,28,10,2,4,2,22,22.22222222222222,0.5,33.33333333333333
low_043,0,0,8,8,11,16,2,0,69.23076923076923,0.125,0.0
low_044,14,8,5,65,26,35,16,12,92.1875,0.45714285714285713,53.84615384615385
low_045,4,3,10,30,14,7,4,0,58.333333333333336,0.5714285714285714,100.0
low_046,0,0,6,0,2,0,0,7,0.0,0.0,0.0
low_047,1,5,10,15,8,5,3,9,56.52173913043478,0.6,10.0
low_048,0,3,7,8,9,3,1,5,50.0,0.3333333333333333,0.0
low_049,0,0,1,13,2,1,0,5,50.0,0.0,0.0
low_050,1,0,12,6,2,4,0,3,25.0,0.0,25.0
low_051,2,5,2,43,4,11,17,3,94.28571428571428,1.5454545454545454,40.0
low_052,1,1,2,8,8,4,6,11,84.61538461538461,1.5,8.333333333333332
low_053,0,0,23,9,3,3,0,7,11.538461538461538,0.0,0.0
low_054,17,14,20,43,21,30,41,2,80.95238095238095,1.3666666666666667,89.47368421052632
