prolific_id,MICO,MIIN,R,Q,Other,C,S,N,%MIC,R:Q,C:S
663fd7ca84b7978432d6070b,8,0,7,7,5,0,4,6,1.0,1.0,0.0
671fff4fced93c3e5a17f230,11,1,19,20,8,11,3,11,0.9166666666666666,0.95,3.6666666666666665
6735337bd46a0b33a2bcf429,9,0,15,11,5,10,4,11,1.0,1.3636363636363635,2.5
6481e7756969fcd48ea9c634,10,0,16,13,5,10,2,5,1.0,1.2307692307692308,5.0
6127b32b912465823dca1e4b,22,0,20,26,20,2,8,21,1.0,0.7692307692307693,0.25
60dde1621f6e206dea63a7dd,9,4,28,23,11,17,4,13,0.6923076923076923,1.2173913043478262,4.25
663b79f76293a4480abba57d,4,0,21,11,9,7,10,6,1.0,1.9090909090909092,0.7
67336dc4beb89674ca687d87,17,0,18,17,12,17,7,8,1.0,1.0588235294117647,2.4285714285714284
67203fd3fe9e55e9ec82fc1f,10,8,25,18,25,11,2,10,0.5555555555555556,1.3888888888888888,5.5
59cb95053306be000195be2e,7,1,22,16,6,11,6,4,0.875,1.375,1.8333333333333333
6720c26681a4d34fea38c6ef,10,0,18,14,6,3,4,10,1.0,1.2857142857142858,0.75
5f7d026c6fd2421d2dc1af04,8,0,20,18,11,8,4,16,1.0,1.1111111111111112,2.0
5cfd68599d3b5700198ab635,5,0,15,13,10,5,5,6,1.0,1.1538461538461535,1.0
672ff35fc68be1c3a2a49e58,6,0,15,11,9,2,3,7,1.0,1.3636363636363635,0.6666666666666666
610898813e48dc2864965122,19,5,19,20,11,9,4,18,0.7916666666666666,0.95,2.25
6103583967377f29277e44ba,15,0,30,22,12,10,3,12,1.0,1.3636363636363635,3.3333333333333335
62a8e8d53d81e31a0c0331d3,6,2,32,20,4,11,3,8,0.75,1.6,3.6666666666666665
66db57436e245785bb79ad61,16,2,33,21,13,17,1,15,0.8888888888888888,1.5714285714285714,17.0
670c03121a572f4b6825f82c,3,0,17,11,7,4,6,9,1.0,1.5454545454545454,0.6666666666666666
5cd1a622fa7c8b0001a48044,3,0,12,8,5,4,2,5,1.0,1.5,2.0
66293f7d355cb2780b2b2ab1,3,0,29,16,4,8,11,11,1.0,1.8125,0.7272727272727273
665c651563503064d1dbba1b,7,4,30,15,11,9,12,9,0.6363636363636364,2.0,0.75
