conv_id,speaker,vol_text
663fd7ca84b7978432d6070b,counsellor,Hello there! I'm glad you're here today. How have you been doing recently?
663fd7ca84b7978432d6070b,client,Ive been fine
663fd7ca84b7978432d6070b,counsellor,I'm glad to hear that. How's everything going for you with your smoking habits?
663fd7ca84b7978432d6070b,client,same old routine
663fd7ca84b7978432d6070b,counsellor,It sounds like smoking is a regular part of your routine. How do you feel about that routine? Are there moments when you feel differently about it?
663fd7ca84b7978432d6070b,client,"i feel great, it works for me"
663fd7ca84b7978432d6070b,counsellor,It's important that it feels like it works for you. I imagine there could be aspects of smoking that make it appealing. What are some of the things that you enjoy about it the most?
663fd7ca84b7978432d6070b,client,meditative moments and stress relief
663fd7ca84b7978432d6070b,counsellor,It sounds like smoking provides a sense of calm and a way to manage stress for you. Those moments of meditation can be really important. Do you ever have times when you feel differently about smoking or have any concerns about it?
663fd7ca84b7978432d6070b,client,no
663fd7ca84b7978432d6070b,counsellor,"It sounds like you're feeling quite settled with your smoking routine right now. If there's anything else on your mind or anything you'd like to explore further today, feel free to let me know."
663fd7ca84b7978432d6070b,client,okay will do
663fd7ca84b7978432d6070b,counsellor,"Great! I'm here whenever you're ready to talk about anything else or if you feel like diving deeper into any particular aspect. Just let me know, and we'll take it step by step."
663fd7ca84b7978432d6070b,client,"thanks for the chat, goodbye"
663fd7ca84b7978432d6070b,counsellor,"Thank you for the conversation today. Let's go over what we've discussed so far. You've shared that smoking has become a routine for you and that you find it brings meditative moments and relief from stress, which you appreciate. It's great to know what works for you, and it's important to understand the role smoking plays in your life. If anything comes up or if you'd like to explore more in future conversations, I'm here to support you. Take care, and feel free to reach out whenever you're ready. Goodbye!

Would you like to continue the conversation?"
663fd7ca84b7978432d6070b,client,No
671fff4fced93c3e5a17f230,counsellor,Hi there! It's nice to meet you. How are you doing today?
671fff4fced93c3e5a17f230,client,I'm doing good and you?
671fff4fced93c3e5a17f230,counsellor,"I'm doing well, thank you! I appreciate you asking. So, what brought you in today?"
671fff4fced93c3e5a17f230,client,Concerning my smoking habit
671fff4fced93c3e5a17f230,counsellor,Thank you for sharing that with me. What’s going on with your smoking habit that you’d like to explore today?
671fff4fced93c3e5a17f230,client,I've been trying to quit
671fff4fced93c3e5a17f230,counsellor,It sounds like quitting smoking is something that's important to you. What's been motivating that desire to quit?
671fff4fced93c3e5a17f230,client,I don't want to get sick. Because of my health
