id,average_care_rating
663fd7ca84b7978432d6070b,4.4
671fff4fced93c3e5a17f230,4.9
6735337bd46a0b33a2bcf429,3.8
6481e7756969fcd48ea9c634,5.0
6127b32b912465823dca1e4b,2.6
663b79f76293a4480abba57d,4.1
67336dc4beb89674ca687d87,5.0
59cb95053306be000195be2e,4.0
6720c26681a4d34fea38c6ef,3.8
5f7d026c6fd2421d2dc1af04,4.2
5cfd68599d3b5700198ab635,3.2
672ff35fc68be1c3a2a49e58,4.4
610898813e48dc2864965122,1.8
6103583967377f29277e44ba,3.9
62a8e8d53d81e31a0c0331d3,3.6
66db57436e245785bb79ad61,4.8
670c03121a572f4b6825f82c,3.9
5cd1a622fa7c8b0001a48044,1.7
66293f7d355cb2780b2b2ab1,4.0
665c651563503064d1dbba1b,3.9
669a4f388b2de8df723faf1e,3.9
5e9a162fc140d109fe1a4618,1.8
6736473dc33f78037ffd2be5,4.5
668c7da70cc4411c509449f7,4.6
5fdd1030cbe069378caa7dab,5.0
5ab8cbc53607f50001929fb9,4.9
671fad84ba3eb025db97acd1,4.8
60a8bd22d03adbe92cbb9a5e,4.5
6645d12da196111f27f80d68,5.0
5d42486206811e001ada5b4b,4.8
663945510818036ee5453ff7,4.0
6615283f82799fd70e2c056b,4.9
59edca95ac0af70001b36f9c,4.6
6693ad02e4dd0cfa3a193d75,4.8
5cc65f978d2a1e000185c4e9,3.8
5ea443b82d77062697ac9814,2.3
58954e2dc88c680001dd4b7e,4.4
6053e01a6a8e8516ba7d47a7,3.9
6709cc4d966fd4b76c0f0286,3.6
5cfbf333ac28dd00196e807b,4.1
6733afc24000cce390aa2575,4.0
604bd44cb5668ba12cc9376e,4.4
65afd259807fecf459149c11,4.6
664d8066db4407ac502a5979,5.0
629e42a3800b66722644beda,4.5
608f39d2c76e436967135846,4.7
67367d0a333a8316c597fe24,3.7
568e7e33e3ef9e000da202a7,5.0
6565f3239d4b3557933760d3,5.0
6605c7d99fbe34468c431d43,4.5
60895dd42aa4dab10a53566c,4.6
57e7b82b21d77800018e51fe,5.0
613dd5fb512aabe8d5d32393,4.6
667cfd0b827314cd6f7027c4,3.7
66d804534578af1dec99f245,4.1
5ef1a79464e5837c95df3de8,4.9
5e19b24b2bf9512392d6dd90,4.6
5f44021f15c23f6e8e413b91,4.0
6400f14b24ac2b910c9f2d93,4.4
5fcca7bf6a7182b003b32a36,4.0
6718da927f1110131780367d,4.6
5c4d87576aeb5d00010184f8,5.0
63d1c1095b55c7061678a96e,4.1
6658b8079bdcfc7da425e0ec,3.5
65735a2100e6cf8638803943,4.4
669d1b8c4cc3b111f5b65a40,3.4
5ecfd28bb14b1c05751f178c,3.9
567f59e0d18c640011e7ac0b,4.4
5dc5da21d999de45a504651b,4.6
5d2b24c5f91bdd0016e9865e,4.0
631755de69157e27c295a340,5.0
66db58ca73be06273e7f8d78,4.8
6672ebed0a2fc6fd8ad014c7,4.5
66b19980c3c58c2bba58922e,4.2
6517301b6d21d25e19c7e501,3.1
65c23bf7904812607642bad6,5.0
66d8e4c119fbcd2677d4eeba,4.3
672625ba0544ba279d6e1219,4.4
672c4935ef13e4a54fc284a9,3.9
5f9197ba39d009000b3d9268,4.8
66c3ecfbd5f63e042cac4b3e,4.8
5bacf6a4b95cc700014b56a8,3.3
5bc9f8b677740000016a08b5,1.9
5e12194094d5ee89089a78d2,2.6
66cbd449c6029aaeeafcb71f,4.7
5e90a3adb3e1243bdcfaf973,4.6
5ed62b33b663bd01d5aaa248,3.3
5ccf4c5db46c7000170d7f5a,4.3
6112bab70c61f8247ee7e228,5.0
668912769c60f1491ca58981,4.0
6061ea5fba199ba84a255ee5,4.1
62d6ad4f05c13b6b7f6612e8,4.9
66d74dbe2e622fcb810c8192,4.7
670c2841cfd21749eb6feea8,4.0
672a89bc5e3d67a9fdbdf803,4.6
650497398724fb2ddc7f6640,4.8
615d9f86fdd5e127d783e850,4.6
639a377ae81184e896e1daaf,4.9
64807f91bd90462348c5d01b,4.9
66fc6008cda3d277a8978dbf,4.5
66c53f6e53501f126905fa7c,4.5
668c4b63509df0f32d2b4a72,3.7
673b9921320df37633fc09d0,3.2
5daa50967776b10016e1bc9b,3.9
628eb50c442d584fa8275bcc,4.4
65f860a1ab03181926bce465,4.9
