corp_conv_idx,conv_id,speaker,corp_vol_idx,conv_vol_idx,vol_text,corp_utt_idx,conv_utt_idx,utt_text,t1_label_auto,t1_expl_auto,t2_label_auto,t2_expl_auto,t1_label_GT,t2_label_GT
0,663fd7ca84b7978432d6070b,counsellor,0,0,Hello there! I'm glad you're here today. How have you been doing recently?,0,0,Hello there!,O,"The counsellor's utterance is a simple greeting, which does not engage in MI techniques. It serves as a structural or facilitative statement to start the session.",FI,"The counsellor's utterance is a simple greeting, which falls under the category of pleasantries. It does not serve to facilitate discussion or provide structural information about the session.",O,FI
0,663fd7ca84b7978432d6070b,counsellor,0,0,Hello there! I'm glad you're here today. How have you been doing recently?,1,1,I'm glad you're here today.,CRL,"The counsellor's statement is a simple expression of positive sentiment, affirming the client's presence and engagement. It aligns with supportive language that encourages the client.",AF,"The counsellor is expressing positive regard for the client's presence, which aligns with affirming their effort to attend the session.",CRL,AF
0,663fd7ca84b7978432d6070b,counsellor,0,0,Hello there! I'm glad you're here today. How have you been doing recently?,2,2,How have you been doing recently?,Q,The counsellor is asking the client a question to gather information about their recent experiences and well-being. This fits the Question (Q) category as it is an open question seeking elaboration.,OQ,"The question is open-ended and invites the client to describe their current state, not a yes/no answer.",Q,OQ
0,663fd7ca84b7978432d6070b,client,1,1,Ive been fine,3,3,I've been fine,N,"The client's statement 'I've been fine' is neutral as it does not express a clear stance towards changing or maintaining the target behavior. It's a general statement without commitment, reasons, desire, optimism, need, or recent steps related to change or maintenance.",N,The client's statement is neutral and does not clearly support or oppose change. It neither expresses a desire for change nor resistance to it.,N,N
0,663fd7ca84b7978432d6070b,counsellor,2,2,I'm glad to hear that. How's everything going for you with your smoking habits?,4,4,I'm glad to hear that.,CRL,"The counsellor is affirming the client's statement with a positive sentiment, which aligns with the Affirm (AF) category under C-Reflective (CRL).",AF,"The counsellor is expressing positive regard for the client's statement, acknowledging their well-being in a supportive manner.",CRL,SU
0,663fd7ca84b7978432d6070b,counsellor,2,2,I'm glad to hear that. How's everything going for you with your smoking habits?,5,5,How's everything going for you with your smoking habits?,Q,"The counsellor is asking the client about their progress with quitting smoking, which is a specific question to gather information. This fits under the Question category as it's an open-ended inquiry about the client's experience.",OQ,"The question is open-ended and invites the client to elaborate on their smoking habits, rather than just answering yes or no.",Q,OQ
0,663fd7ca84b7978432d6070b,client,3,3,same old routine,6,6,same old routine,S,"The client's statement 'same old routine' indicates they are maintaining their current behavior, which is smoking. This aligns with Sustain Talk as it suggests they have not made any changes and are continuing their routine.",N-,"The client's statement 'same old routine' indicates they are maintaining their smoking habit without any desire or intention to change. It reflects a lack of motivation and suggests they are not considering quitting, aligning with the 'Need' category as it implies a continued reliance on smoking as part of their daily life.",S,AC-
0,663fd7ca84b7978432d6070b,counsellor,4,4,It sounds like smoking is a regular part of your routine. How do you feel about that routine? Are there moments when you feel differently about it?,7,7,It sounds like smoking is a regular part of your routine.,SRL,The counsellor is mirroring the client's statement about smoking being a routine part of their life. This is a simple reflection without additional interpretation or emphasis.,SR,"The counsellor paraphrases the client's statement about smoking being a routine, using slightly different wording to reflect understanding.",SRL,SR
0,663fd7ca84b7978432d6070b,counsellor,4,4,It sounds like smoking is a regular part of your routine. How do you feel about that routine? Are there moments when you feel differently about it?,8,8,How do you feel about that routine?,Q,"The counsellor is asking the client to reflect on their feelings about smoking being a regular part of their routine. This is an open question that encourages the client to elaborate on their thoughts and feelings, which aligns with MI principles of exploring motivation.",OQ,The question is open-ended and invites the client to elaborate on their feelings towards their smoking routine.,Q,OQ
0,663fd7ca84b7978432d6070b,counsellor,4,4,It sounds like smoking is a regular part of your routine. How do you feel about that routine? Are there moments when you feel differently about it?,9,9,Are there moments when you feel differently about it?,Q,"The counsellor is asking the client if there are times when their feelings about smoking differ, encouraging reflection and exploration of ambivalence. This is a question aimed at eliciting the client's thoughts and feelings, which fits under the Question category.",CQ,"The question is structured to elicit a yes/no response, as it asks if there are moments when the client feels differently. The presence of 'Are there' indicates a closed question.",Q,CQ
0,663fd7ca84b7978432d6070b,client,5,5,"i feel great, it works for me",10,10,"i feel great,",N,"The client says they feel great, which is a positive statement but doesn't clearly indicate a stance towards changing or maintaining the behavior. It's neutral as it doesn't express desire, commitment, reasons for change or maintenance.",N,The client's statement is a brief positive affirmation but does not clearly support or oppose change. It lacks specificity and context regarding their smoking habits.,S,R-
0,663fd7ca84b7978432d6070b,client,5,5,"i feel great, it works for me",11,11,it works for me,S,"The client states that smoking is effective for them, indicating a stance towards maintaining the behavior.",N-,"The client states that their smoking routine is effective and suits them, indicating a belief in its necessity or effectiveness. This aligns with the 'Need' category as they express that smoking meets their needs.",S,R-
0,663fd7ca84b7978432d6070b,counsellor,6,6,It's important that it feels like it works for you. I imagine there could be aspects of smoking that make it appealing. What are some of the things that you enjoy about it the most?,12,12,It's important that it feels like it works for you.,CRL,"The counsellor affirms the client's statement about smoking being effective for them, emphasizing their autonomy and control over their choice. This aligns with the C-Reflective (CRL) category as it affirms and supports the client's perspective.",AF,"The counsellor is affirming the client's sense of control and effectiveness in their current routine, acknowledging that it works for them. This is a positive statement about the client's ability to manage their situation, which aligns with Affirm (AF) as it recognizes the client's strengths and efforts.",CRL,SU
0,663fd7ca84b7978432d6070b,counsellor,6,6,It's important that it feels like it works for you. I imagine there could be aspects of smoking that make it appealing. What are some of the things that you enjoy about it the most?,13,13,I imagine there could be aspects of smoking that make it appealing.,CRL,The counsellor is acknowledging the client's statement and suggesting that there are positive aspects of smoking for the client. This aligns with C-Reflective (CRL) as it's a complex reflection that adds meaning to the client's statement.,RF,"The counsellor is acknowledging the client's statement about smoking being effective for them, while also suggesting that there are positive aspects of smoking. This is a form of reframing the client's experience by highlighting potential benefits, which could help the client see smoking in a different light. The counsellor is not directly challenging the client's view but is offering an alternative perspective.",CRL,CR
0,663fd7ca84b7978432d6070b,counsellor,6,6,It's important that it feels like it works for you. I imagine there could be aspects of smoking that make it appealing. What are some of the things that you enjoy about it the most?,14,14,What are some of the things that you enjoy about it the most?,Q,"The counsellor is asking the client to elaborate on their experience with smoking, encouraging them to reflect and provide more details. This is an open question aimed at gathering information about the client's perspective.",OQ,"The question is open-ended and invites the client to elaborate on their experiences, rather than providing a yes/no answer.",Q,OQ
0,663fd7ca84b7978432d6070b,client,7,7,meditative moments and stress relief,15,15,meditative moments and stress relief,S,"The client is describing positive aspects of smoking, indicating a stance towards maintaining the behavior. This aligns with Sustain Talk (S) as they are highlighting reasons for continuing smoking.",R-,The client mentions that they find smoking to be meditative and provides a reason for continuing the behavior. This fits under Reasons (R-).,S,R-
0,663fd7ca84b7978432d6070b,counsellor,8,8,It sounds like smoking provides a sense of calm and a way to manage stress for you. Those moments of meditation can be really important. Do you ever have times when you feel differently about smoking or have any concerns about it?,16,16,It sounds like smoking provides a sense of calm and a way to manage stress for you.,SRL,"The counsellor is reflecting the client's statement about smoking providing calm and stress relief, which aligns with SRL as it paraphrases the client's words without adding significant meaning.",SR,"The counsellor is reflecting the client's statement about smoking providing calm and stress relief, using slightly different wording.",SRL,SR
