corp_conv_idx,conv_id,speaker,corp_vol_idx,conv_vol_idx,vol_text,corp_utt_idx,conv_utt_idx,utt_text,T1,T2
0,high_001,counsellor,0,0,hey Monica how are you doing today,0,0,hey Monica,O,FI
0,high_001,counsellor,0,0,hey Monica how are you doing today,1,1,how are you doing today,O,FI
0,high_001,client,1,1,I'm okay right now but I'm a little anxious because thinking about how Black Friday is soon and my friends want to go to the mall for Black Friday but I really can't go and I want to go but I really to interesting,2,2,I'm okay right now but I'm a little anxious because thinking about how Black Friday is soon and my friends want to go to the mall for Black Friday but I really can't go and I want to go but I really to interesting,N,N
0,high_001,counsellor,2,2,so it sounds like you really want to go to Black Friday with your friends you're feeling a little anxious about it,3,3,so it sounds like you really want to go to Black Friday with your friends,SRL,SR
0,high_001,counsellor,2,2,so it sounds like you really want to go to Black Friday with your friends you're feeling a little anxious about it,4,4,you're feeling a little anxious about it,SRL,SR
0,high_001,client,3,3,yeah Monaco but interesting but I was thinking about it and maybe if I could make an image or something that I could use while I'm there maybe I'd be able to go so I was wondering if I could give you that very well,5,5,yeah Monaco but interesting,N,N
0,high_001,client,3,3,yeah Monaco but interesting but I was thinking about it and maybe if I could make an image or something that I could use while I'm there maybe I'd be able to go so I was wondering if I could give you that very well,6,6,but I was thinking about it and maybe if I could make an image or something that I could use while I'm there,C,AC+
0,high_001,client,3,3,yeah Monaco but interesting but I was thinking about it and maybe if I could make an image or something that I could use while I'm there maybe I'd be able to go so I was wondering if I could give you that very well,7,7,maybe I'd be able to go,N,N
0,high_001,client,3,3,yeah Monaco but interesting but I was thinking about it and maybe if I could make an image or something that I could use while I'm there maybe I'd be able to go so I was wondering if I could give you that very well,8,8,so I was wondering if I could give you that very well,N,N
0,high_001,counsellor,4,4,that sounds like a great idea can absolutely do that,9,9,that sounds like a great idea,CRL,AF
0,high_001,counsellor,4,4,that sounds like a great idea can absolutely do that,10,10,can absolutely do that,CRL,SU
0,high_001,client,5,5,okay,11,11,okay,N,N
0,high_001,counsellor,6,6,so we have some materials on the table but if you'd like to use anything else that we've used previously just let me know and I'll get them to you for you,12,12,so we have some materials on the table,O,ST
0,high_001,counsellor,6,6,so we have some materials on the table but if you'd like to use anything else that we've used previously just let me know and I'll get them to you for you,13,13,but if you'd like to use anything else that we've used previously just let me know,CRL,EC
0,high_001,counsellor,6,6,so we have some materials on the table but if you'd like to use anything else that we've used previously just let me know and I'll get them to you for you,14,14,and I'll get them to you for you,CRL,EC
0,high_001,client,7,7,um do you have a Sharpie,15,15,um,N,N
0,high_001,client,7,7,um do you have a Sharpie,16,16,do you have a Sharpie,N,N
0,high_001,counsellor,8,8,it do did you have a color that you wanted,17,17,it do did you have a color that you wanted,Q,CQ
0,high_001,client,9,9,black maybe,18,18,black maybe,N,N
0,high_001,counsellor,10,10,all right here,19,19,all right here,O,FI
0,high_001,client,11,11,this,20,20,this,N,N
0,high_001,counsellor,12,12,welcome,21,21,welcome,O,FI
0,high_001,client,13,13,ok I think I'm done,22,22,ok,N,N
0,high_001,client,13,13,ok I think I'm done,23,23,I think I'm done,N,N
0,high_001,counsellor,14,14,all right is there anything you'd like to tell me about it,24,24,all right,O,FI
0,high_001,counsellor,14,14,all right is there anything you'd like to tell me about it,25,25,is there anything you'd like to tell me about it,Q,CQ
0,high_001,client,15,15,well I'm sure um I drew mountains and lake because when I think about things like Unicom I think of nature so I drew a scene that I think would keep me calm,26,26,well I'm sure um I drew mountains and lake because when I think about things like Unicom I think of nature,N,N
0,high_001,client,15,15,well I'm sure um I drew mountains and lake because when I think about things like Unicom I think of nature so I drew a scene that I think would keep me calm,27,27,so I drew a scene that I think would keep me calm,N,N
0,high_001,counsellor,16,16,so it sounds like nature and mountains are coming to you do you think that this will be helpful I'm black Franny,28,28,so it sounds like nature and mountains are coming to you,SRL,SR
0,high_001,counsellor,16,16,so it sounds like nature and mountains are coming to you do you think that this will be helpful I'm black Franny,29,29,do you think that this will be helpful,Q,CQ
0,high_001,counsellor,16,16,so it sounds like nature and mountains are coming to you do you think that this will be helpful I'm black Franny,30,30,I'm black Franny,O,FI
0,high_001,client,17,17,yes as long as I can remember to think about this image when I'm there but maybe I'll bring it with me when I go so I can refer to it when I'm anxious,31,31,yes as long as I can remember to think about this image when I'm there,N,N
0,high_001,client,17,17,yes as long as I can remember to think about this image when I'm there but maybe I'll bring it with me when I go so I can refer to it when I'm anxious,32,32,but maybe I'll bring it with me when I go,C,AC+
0,high_001,client,17,17,yes as long as I can remember to think about this image when I'm there but maybe I'll bring it with me when I go so I can refer to it when I'm anxious,33,33,so I can refer to it when I'm anxious,C,AC+
0,high_001,counsellor,18,18,that sounds like a great idea,34,34,that sounds like a great idea,CRL,AF
1,high_099,client,19,0,well my name is Laura I'm years old and I'm a senior in high school,35,0,well my name is Laura,N,N
1,high_099,client,19,0,well my name is Laura I'm years old and I'm a senior in high school,36,1,I'm years old,N,N
1,high_099,client,19,0,well my name is Laura I'm years old and I'm a senior in high school,37,2,and I'm a senior in high school,N,N
1,high_099,counsellor,20,1,okay and what kinds of things do a plan for your life,38,3,okay,O,FI
1,high_099,counsellor,20,1,okay and what kinds of things do a plan for your life,39,4,and what kinds of things do a plan for your life,Q,OQ
1,high_099,client,21,2,well hopefully go to college get you know get enough grades to go to college,40,5,well hopefully go to college,N,N
1,high_099,client,21,2,well hopefully go to college get you know get enough grades to go to college,41,6,get you know get enough grades to go to college,N,N
1,high_099,counsellor,22,3,that's great do you have a plan as to where you might want to go or um,42,7,that's great,O,FI
1,high_099,counsellor,22,3,that's great do you have a plan as to where you might want to go or um,43,8,do you have a plan as to where you might want to go or um,Q,CQ
1,high_099,client,23,4,I'm not sure yet might be a few schools in the area I'm looking maybe to apply out of state,44,9,I'm not sure yet,N,N
1,high_099,client,23,4,I'm not sure yet might be a few schools in the area I'm looking maybe to apply out of state,45,10,might be a few schools in the area,N,N
1,high_099,client,23,4,I'm not sure yet might be a few schools in the area I'm looking maybe to apply out of state,46,11,I'm looking maybe to apply out of state,N,N
