strategy1,strategy2,r2_1,r2_2,r2_combined,adj_r2_combined,improvement,coef1,coef2,se_coef1,se_coef2,p_value_1,p_value_2,f_stat,f_p_value,p_improvement
CO,ST,0.08023909694427467,0.06282483226951996,0.13898264041449682,0.13174720041797994,0.05874354347022215,-0.0331846842836435,0.015071702813635159,0.007232658291965993,0.0037402422119927185,7.236096585483409e-06,7.521183806868947e-05,19.20859553550351,1.8467878670769267e-08,7.52118380688005e-05
AF,CO,0.1013205217887495,0.08023909694427467,0.15518602614135701,0.148086749050108,0.05386550435260751,0.02258495723901364,-0.028316189770093057,0.004915123299613497,0.007268947209463964,7.022112531229752e-06,0.00012738660344235875,21.85941246505881,1.9256154448754614e-09,0.00012738660344235875
OQ,CO,0.09701991790034781,0.08023909694427467,0.1490439077732093,0.14189301624189177,0.0520239898728615,0.013167016883018577,-0.027927008512787718,0.0030015327563065117,0.007321291294054592,1.729007106088254e-05,0.00017395129643449359,20.842702916198142,4.559855382169076e-09,0.00017395129643438256
CO,SU,0.08023909694427467,0.05251655148314638,0.12409380152945315,0.11673324523978468,0.04385470458517848,-0.0322399506388084,0.021412643387810043,0.007310501743119406,0.0062030104183564035,1.5655109841139492e-05,0.0006584103932396612,16.85929658654138,1.4205429332836417e-07,0.0006584103932397722
RCW,GI,0.03393932135064248,0.026084312689894418,0.07260230523882061,0.06480904729965098,0.038662983888178126,-0.02124445081891398,0.01583354327969301,0.006148646906948426,0.005026607290113126,0.0006510938472095162,0.0018420995319288203,9.316040326846519,0.0001272493087589588,0.0018420995319289313
SU,RCW,0.05251655148314638,0.03393932135064248,0.08794794392517369,0.08028364093294826,0.03543139244202731,0.023705136082933995,-0.01825973517629012,0.006314402140268583,0.006005120124201844,0.00021867015699705838,0.0026243980035272063,11.475008753488343,1.747171676425019e-05,0.0026243980035272063
ST,RCW,0.06282483226951996,0.03393932135064248,0.095677799357333,0.08807845313344509,0.032852967087813045,0.015445454445749782,-0.017581383149816054,0.003831738381770636,0.0059791418539193964,7.481760072947097e-05,0.003600327217498256,12.590267180692095,6.34541350508222e-06,0.003600327217498256
AF,RCW,0.1013205217887495,0.03393932135064248,0.13407625240487808,0.12679958225701993,0.032755730616128576,0.025720110467407863,-0.01755501569646297,0.0049026065089571615,0.0058507147303569415,3.4316688846125487e-07,0.002982156054230023,18.425495409372434,3.631435774309466e-08,0.002982156054229912
AF,OQ,0.1013205217887495,0.09701991790034781,0.1313868333026892,0.12408756299430834,0.03006631151393968,0.017515602193517443,0.009933158632380793,0.005707941609959318,0.0034607642863581705,0.0023994782854133145,0.00447107943172198,17.999995582001596,5.2522160287615804e-08,0.004471079431721869
RCW,ADP,0.03393932135064248,0.02824495057659926,0.06261001360286167,0.054732786826415136,0.028670692252219188,-0.017980577300655397,0.04791198967231191,0.006087188288273398,0.017758112105792246,0.0034531176831360533,0.007474387590951315,7.948230434354129,0.0004555298877749747,0.007474387590951537
OQ,RCW,0.09701991790034781,0.03393932135064248,0.1256683182015511,0.11832099314442124,0.028648400301203303,0.01494219713854402,-0.016436173434830482,0.0029902725155502956,0.0058857275713121845,1.1286997421144918e-06,0.005654541226716825,17.10395514345767,1.14675237417039e-07,0.005654541226716825
ST,CR,0.06282483226951996,0.040266618078342975,0.08924857723629431,0.08159520393575903,0.026423744966774354,0.013937145788043238,0.019383315710680877,0.0038955359597896023,0.007376363932305033,0.00041985276512401803,0.009153652323743433,11.661338566884154,1.4742907655018733e-05,0.009153652323743433
CR,RCW,0.040266618078342975,0.03393932135064248,0.06540371321046334,0.05754996290130765,0.02513709513212037,0.021070964986989172,-0.01552030274885611,0.0074438617975780596,0.0061343166651121345,0.005042422979219863,0.012049996907408822,8.327704680681885,0.000319346451130742,0.012049996907409155
CR,ADP,0.040266618078342975,0.02824495057659926,0.06496385947351913,0.05710641291447305,0.02469724139517615,0.022588302881793608,0.04453596732527137,0.007388638843489982,0.01776283928851967,0.0024895661109956,0.01283474134159146,8.26780799402677,0.000337737497428936,0.012834741341591682
CR,GI,0.040266618078342975,0.026084312689894418,0.0648473031791047,0.056988877155399686,0.024580685100761723,0.023179194152169815,0.012435119988847327,0.00737976415428361,0.004971709852603779,0.0018975084105137263,0.013051297707893372,8.251945489273853,0.0003427844755630183,0.013051297707893594
CO,CR,0.08023909694427467,0.040266618078342975,0.1042999823416696,0.09677309143697765,0.024060885397394927,-0.030857363385906052,0.018522020273696763,0.007480807300694895,0.007325299162522193,5.129601746212131e-05,0.012102854254257167,13.856980745749183,2.029305116613145e-06,0.012102854254256945
SR,RCW,0.03890823572026059,0.03393932135064248,0.06219977240480723,0.05431909822333503,0.023291536684546643,0.00322035921181564,-0.015025744353693042,0.0012024899659479988,0.006180215410688834,0.007920529413075306,0.015785495692310914,7.892696864824271,0.0004798767649561997,0.015785495692311025
SU,CR,0.05251655148314638,0.040266618078342975,0.07530607736754547,0.06753554020256691,0.022789525884399087,0.019642799087043993,0.018281587026088477,0.006540865214028222,0.007548432437310819,0.0029577482537395117,0.016187663185863954,9.691231863216089,8.990055969348987e-05,0.016187663185863843
CO,GI,0.08023909694427467,0.026084312689894418,0.10188256494070258,0.09433535960406991,0.021643467996427912,-0.03313569873068894,0.011680734507889458,0.007393407133925966,0.00487736000812542,1.150618763889888e-05,0.01739968737566433,13.499376311677027,2.7966760207664976e-06,0.017399687375664108
AF,ADP,0.1013205217887495,0.02824495057659926,0.12099100208834246,0.1136043718537908,0.019670480299592952,0.024850347842804647,0.0398431974107828,0.0049589866515951115,0.017264534890735102,1.0557057286142424e-06,0.021868502154564373,16.379729084365728,2.163740457916674e-07,0.02186850215456415
CO,SR,0.08023909694427467,0.03890823572026059,0.0993537349786916,0.09178527897010913,0.01911463803441693,-0.030294989970224697,0.002674819644499741,0.00758014435193321,0.0011901456471305374,8.572829355091294e-05,0.025526533899834947,13.12734524267925,3.908013258224763e-06,0.025526533899834725
SR,ADP,0.03890823572026059,0.02824495057659926,0.05792630285349931,0.05000971716319258,0.019018067133238725,0.0032948765842254995,0.039544192134953055,0.001203237256819333,0.018040703968418434,0.006641807359949903,0.029352933829175587,7.317081519679094,0.0008243289045555269,0.029352933829176142
